"","Ska","Cin","Eug","MS","MC","BA","VA"
"Euglossa_roubiki",0,0.25,0.25,0.25,0,0,0.25
"Euglossa_rugilabris",0,0.5,0,0.25,0,0.25,0
"Euglossa_sapphirina",0.0625,0.4375,0.0625,0.1875,0,0,0.25
"Euglossa_securigera",0.0256410256410256,0.384615384615385,0.282051282051282,0.0512820512820513,0.205128205128205,0,0.0512820512820513
"Euglossa_stellfeldi",0,0.388888888888889,0.333333333333333,0.0555555555555556,0,0,0.222222222222222
"Euglossa_townsendi",0,0.588235294117647,0.176470588235294,0.0588235294117647,0.0588235294117647,0,0.117647058823529
"Euglossa_tridentata",0,0.25,0.25,0,0.25,0.125,0.125
"Euglossa_truncata",0,0.37037037037037,0.444444444444444,0.037037037037037,0.037037037037037,0,0.111111111111111
"Euglossa_variabilis",0,0.3,0.2,0.1,0.2,0.1,0.1
"Euglossa_villosiventris",0,0,0,0.666666666666667,0,0,0.333333333333333
"Euglossa_viridifrons",0,0.4,0.2,0.2,0,0.2,0
"Euglossa_viridis",0,0,0.285714285714286,0.571428571428571,0,0,0.142857142857143
"Euglossa_viridissima",0,0.2,0.2,0.2,0.2,0.2,0
"Euglossa_violaceifrons",0,0.8,0,0,0,0,0.2
"Eulaema_atleticana",0,0.25,0,0.25,0,0.25,0.25
"Eulaema_bombiformis",0.0476190476190476,0,0.0952380952380952,0.476190476190476,0.0952380952380952,0.19047619047619,0.0952380952380952
"Eulaema_cingulata",0.075,0.1375,0.225,0.1,0.075,0.1625,0.225
"Eulaema_flavescens",0.25,0.25,0,0,0,0.25,0.25
"Eulaema_marcii",0.0555555555555556,0.111111111111111,0.277777777777778,0,0.111111111111111,0.166666666666667,0.277777777777778
"Eulaema_meriana",0.0769230769230769,0.215384615384615,0.107692307692308,0.215384615384615,0.107692307692308,0.123076923076923,0.153846153846154
"Eulaema_mocsaryi",0.0384615384615385,0.230769230769231,0.153846153846154,0.269230769230769,0,0.115384615384615,0.192307692307692
"Eulaema_nigrita",0.0975609756097561,0.414634146341463,0.024390243902439,0.0609756097560976,0.0609756097560976,0.0365853658536585,0.304878048780488
"Eulaema_niveofasciata",0,0,0,0.5,0.5,0,0
"Eulaema_peruviana",0,0,0,0,0,1,0
"Eulaema_pseudocingulata",0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0,0.111111111111111,0.333333333333333
"Eulaema_seabrai",0,0,0,0,0,1,0
"Exaerete_dentata",0,0,0,0.5,0,0,0.5
"Exaerete_frontalis",0.0517241379310345,0.293103448275862,0.189655172413793,0.155172413793103,0.120689655172414,0.137931034482759,0.0517241379310345
"Exaerete_lepeletieri",0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222,0,0.111111111111111,0.222222222222222
"Exaerete_smaragdina",0.0114942528735632,0.298850574712644,0.218390804597701,0.126436781609195,0.0919540229885057,0.0804597701149425,0.172413793103448
